formula,depth,n_nodes,sigma,noise_model,rmse,rmse_std,bits_of_precision,failure_rate,has_complex_intermediates
exp(exp(x)),2,5,0.001,multiplicative_gaussian,0.10627180864919838,0.02824667411659888,9.654812425057354,0.0,0
exp(exp(x)),2,5,0.001,1_over_f,0.022396231142128117,0.01800411104215149,11.901243480634276,0.0,0
exp(exp(x)),2,5,0.001,matched_pairs,0.01819857954287664,0.0065565872943649855,12.20067360745306,0.0,0
exp(exp(x)),2,5,0.005,additive_gaussian,0.12863160778912427,0.028323949303739448,9.37932617035772,0.0,0
exp(exp(x)),2,5,0.005,multiplicative_gaussian,0.5407952836621859,0.1334273040292271,7.307488790673275,0.0,0
exp(exp(x)),2,5,0.005,1_over_f,0.1073813945863913,0.08200056062935969,9.639827313700344,0.0,0
exp(exp(x)),2,5,0.005,matched_pairs,0.09150549605159598,0.03270918299367801,9.870641057413225,0.0,0
exp(exp(x)),2,5,0.01,additive_gaussian,0.26531633982766073,0.05323025074762782,8.334857832017423,0.0,0
exp(exp(x)),2,5,0.01,multiplicative_gaussian,1.0822723930409333,0.27819830109078614,6.3065796142322466,0.0,0
exp(exp(x)),2,5,0.01,1_over_f,0.22494803141173184,0.1602026024872103,8.572979618927501,0.0,0
exp(exp(x)),2,5,0.01,matched_pairs,0.17739974709389025,0.06765947706673618,8.915567407545513,0.0,0
exp(exp(x)),2,5,0.02,additive_gaussian,0.5330991766041417,0.11168905291557867,7.328167406657457,0.0,0
exp(exp(x)),2,5,0.02,multiplicative_gaussian,2.1366625937281594,0.5394292833544536,5.32528415951323,0.0,0
exp(exp(x)),2,5,0.02,1_over_f,0.43704342701734705,0.3066507536540253,7.614794719546659,0.0,0
exp(exp(x)),2,5,0.02,matched_pairs,0.3688426578728905,0.13448202675340015,7.85956584257101,0.0,0
exp(exp(x)),2,5,0.05,additive_gaussian,1.3592154752408954,0.28484599422591966,5.977869082132432,0.0,0
exp(exp(x)),2,5,0.05,multiplicative_gaussian,5.637828678624407,1.526210592254041,3.9255036273478625,0.0,0
exp(exp(x)),2,5,0.05,1_over_f,1.16637451256249,0.8081862807001768,6.198612165981152,0.0,0
exp(exp(x)),2,5,0.05,matched_pairs,0.9192567872973457,0.32657474590743146,6.5421034368874205,0.0,0
